eq,cry,deff,wd,avg,pos,avg_is,pos_is,avg_oos,pos_oos
0.44,0.22,0.1,0.0,0.015630592110121033,0.7419354838709677,0.015739955175193696,0.7291666666666666,0.015513938174043526,0.7555555555555555
0.44,0.22,0.1,0.04,0.016352797516568488,0.7419354838709677,0.016857754661292457,0.7291666666666666,0.015814176562196247,0.7555555555555555
0.44,0.22,0.1,0.08,0.016975514143194835,0.7096774193548387,0.01780042744557121,0.7083333333333334,0.016095606620660036,0.7111111111111111
0.44,0.22,0.1,0.12,0.01755331976707857,0.6989247311827957,0.018846027244489676,0.6875,0.016174431791173383,0.7111111111111111
0.44,0.22,0.13,0.0,0.015345993537944263,0.7419354838709677,0.015291027533749585,0.7291666666666666,0.015404623942418587,0.7555555555555555
0.44,0.22,0.13,0.04,0.016065907346164563,0.7419354838709677,0.01643502592305762,0.7291666666666666,0.015672180864145308,0.7555555555555555
0.44,0.22,0.13,0.08,0.01661970657457483,0.7204301075268817,0.017344201194496162,0.7083333333333334,0.015846912313325412,0.7333333333333333
0.44,0.22,0.13,0.12,0.017127958883565043,0.6989247311827957,0.018283028475861895,0.6875,0.015895884651781732,0.7111111111111111
0.44,0.22,0.16,0.0,0.014988659917750325,0.7526881720430108,0.01485827945789253,0.7291666666666666,0.015127732408265308,0.7777777777777778
0.44,0.22,0.16,0.04,0.015702862671931793,0.7419354838709677,0.015891707473099995,0.7291666666666666,0.015501428217352379,0.7555555555555555
0.44,0.22,0.16,0.08,0.016246637976877615,0.7204301075268817,0.016751085281844647,0.6875,0.015708560851579446,0.7555555555555555
0.44,0.22,0.16,0.12,0.016742869019688723,0.6989247311827957,0.017704579257743876,0.6875,0.015717044765763227,0.7111111111111111
0.44,0.22,0.19,0.0,0.014708321597739715,0.7526881720430108,0.014418766097681552,0.7291666666666666,0.015017180797801753,0.7777777777777778
0.44,0.22,0.19,0.04,0.015327592059403377,0.7526881720430108,0.015370151481992044,0.7291666666666666,0.015282195341975465,0.7777777777777778
0.44,0.22,0.19,0.08,0.015870284842485424,0.7311827956989247,0.016201186336391022,0.6875,0.015517323248986121,0.7777777777777778
0.44,0.22,0.19,0.12,0.016406291038628687,0.7096774193548387,0.017077167551941063,0.6875,0.015690689424428812,0.7333333333333333
0.44,0.26,0.1,0.0,0.016076222075879554,0.7419354838709677,0.016400419760638843,0.75,0.015730411212136308,0.7333333333333333
0.44,0.26,0.1,0.04,0.016722841247734953,0.7311827956989247,0.017430496770655373,0.7291666666666666,0.01596800868995317,0.7333333333333333
0.44,0.26,0.1,0.08,0.017352241820149796,0.7204301075268817,0.01838719446743971,0.7291666666666666,0.016248292329707217,0.7111111111111111
0.44,0.26,0.1,0.12,0.017983525773426833,0.6989247311827957,0.019382344407221332,0.6875,0.016491452564046032,0.7111111111111111
0.44,0.26,0.13,0.0,0.015781586328760464,0.7526881720430108,0.015951209967222556,0.75,0.015600654447734228,0.7555555555555555
0.44,0.26,0.13,0.04,0.016426552658326536,0.7311827956989247,0.017012086332336588,0.7291666666666666,0.01580198340604915,0.7333333333333333
0.44,0.26,0.13,0.08,0.016991177376134963,0.6989247311827957,0.017927594075311377,0.6875,0.015992332897013458,0.7111111111111111
0.44,0.26,0.13,0.12,0.017552270133864362,0.6989247311827957,0.018816985217490517,0.6875,0.016203240711329798,0.7111111111111111
0.44,0.26,0.16,0.0,0.015534329351254265,0.7526881720430108,0.015529942725567639,0.75,0.015539008418653336,0.7555555555555555
0.44,0.26,0.16,0.04,0.01605071541368405,0.7204301075268817,0.01645567741660111,0.7083333333333334,0.015618755943905849,0.7333333333333333
0.44,0.26,0.16,0.08,0.016622776407666514,0.7096774193548387,0.01736502704636945,0.6875,0.01583104239305004,0.7333333333333333
