eq,cry,deff,wd,ann,pos,ann_is,pos_is,ann_oos,pos_oos
0.5,0.28,0.15,0.07,0.11913204631876208,0.7350427350427351,0.1577494188343982,0.7361111111111112,0.19036313648929643,0.7333333333333333
0.56,0.36,0.08,0.0,0.1196806521855804,0.7264957264957265,0.15506769234205442,0.7361111111111112,0.19570581285010477,0.7111111111111111
0.54,0.34,0.08,0.04,0.12411583941726415,0.7264957264957265,0.16398611719812542,0.7361111111111112,0.19889319876676526,0.7111111111111111
0.52,0.33,0.08,0.08,0.12743067161553834,0.7264957264957265,0.16967653575516403,0.75,0.20308041300353052,0.6888888888888889
0.54,0.34,0.12,0.0,0.1179348058452739,0.7264957264957265,0.15529551903638783,0.7222222222222222,0.1885418034360994,0.7333333333333333
0.52,0.33,0.11,0.04,0.12242907710986509,0.7435897435897436,0.16368969650339532,0.75,0.19258046781168736,0.7333333333333333
0.5,0.32,0.11,0.07,0.1252538605619275,0.7435897435897436,0.16911347502395613,0.75,0.19536390501232337,0.7333333333333333
0.52,0.33,0.15,0.0,0.11463488838367326,0.717948717948718,0.14811388662931657,0.7222222222222222,0.18783948072635356,0.7111111111111111
0.5,0.32,0.15,0.04,0.11908142437864584,0.7435897435897436,0.1572805956080584,0.75,0.1904481993844075,0.7333333333333333
0.48,0.31,0.14,0.07,0.12194255094923231,0.7435897435897436,0.16337221232736385,0.75,0.1921954421159817,0.7333333333333333
0.68,0.23,0.09,0.0,0.11460560287215259,0.7264957264957265,0.14996177095799967,0.7361111111111112,0.1820842154770418,0.7111111111111111
0.65,0.22,0.09,0.04,0.11931529037014264,0.7264957264957265,0.1592826703030733,0.7361111111111112,0.18555462704595818,0.7111111111111111
0.62,0.21,0.08,0.08,0.12355242930556293,0.717948717948718,0.16766925896989804,0.7361111111111112,0.1886883413704009,0.6888888888888889
0.65,0.22,0.13,0.0,0.11115918994060434,0.7350427350427351,0.14341912183138456,0.7361111111111112,0.180399489215464,0.7333333333333333
0.62,0.21,0.12,0.04,0.11603461804195832,0.7350427350427351,0.1530416351431993,0.7361111111111112,0.183879029611929,0.7333333333333333
