variant,wd_b,crash_sig,avg,pos,avg_is,pos_is,pos_oos,sh
wd11 (shipped),0.04,3.0,0.016239829115395597,0.7526881720430108,0.016698725505222417,0.75,0.7555555555555555,1.4144938718011908
wd11 (shipped),0.04,2.0,0.01550574980999537,0.7419354838709677,0.014497024155911304,0.75,0.7333333333333333,1.4188074696609247
wd11 (shipped),0.08,3.0,0.016818728704877793,0.7096774193548387,0.017652647801436296,0.7083333333333334,0.7111111111111111,1.444424916322217
wd11 (shipped),0.08,2.0,0.016195348714305856,0.7204301075268817,0.015512929348576907,0.7083333333333334,0.7333333333333333,1.4605648018762638
wd30-liq k4,0.04,3.0,0.016253833289789615,0.7419354838709677,0.016608107114745037,0.7291666666666666,0.7555555555555555,1.4193924201633161
wd30-liq k4,0.04,2.0,0.01557969476926783,0.7311827956989247,0.014452260641114621,0.7291666666666666,0.7333333333333333,1.429131308915521
wd30-liq k4,0.08,3.0,0.016833279978415848,0.7204301075268817,0.017322327791982266,0.6875,0.7555555555555555,1.4512514777791763
wd30-liq k4,0.08,2.0,0.01606909567561295,0.7096774193548387,0.015201215426345947,0.6875,0.7333333333333333,1.4716466061875422
wd30-liq k2,0.04,3.0,0.0161179082409179,0.7419354838709677,0.0164031555284897,0.7291666666666666,0.7555555555555555,1.4098405238241274
wd30-liq k2,0.04,2.0,0.015449128154247444,0.7311827956989247,0.014196964476342907,0.7291666666666666,0.7333333333333333,1.4257607932486087
wd30-liq k2,0.08,3.0,0.01655148998558606,0.7096774193548387,0.01704902495476439,0.6875,0.7333333333333333,1.4328367819630337
wd30-liq k2,0.08,2.0,0.01598149092526034,0.7204301075268817,0.014936266664430382,0.6875,0.7555555555555555,1.458877160135295
wd30-liq k3,0.04,3.0,0.016439270244513922,0.7526881720430108,0.016700291969595254,0.75,0.7555555555555555,1.43450989922123
wd30-liq k3,0.04,2.0,0.01585910342411309,0.7419354838709677,0.014784031954807868,0.75,0.7333333333333333,1.4523766845866977
wd30-liq k3,0.08,3.0,0.017219318036611725,0.7204301075268817,0.017624282202999924,0.6875,0.7555555555555555,1.4836309527726574
wd30-liq k3,0.08,2.0,0.01659025914084739,0.7096774193548387,0.015576860640717774,0.6875,0.7333333333333333,1.5009768347207026
