carry,btc,def,avg,pos,is_pos,oos_pos,ok
0.0,0.2,0.12,0.012745681712393578,0.7435897435897436,0.75,0.7333333333333333,False
0.0,0.2,0.15,0.012411227146179747,0.7350427350427351,0.7361111111111112,0.7333333333333333,False
0.0,0.2,0.18,0.01215505772891492,0.7521367521367521,0.75,0.7555555555555555,False
0.0,0.25,0.12,0.013114828409063526,0.7521367521367521,0.75,0.7555555555555555,False
0.0,0.25,0.15,0.012654653969178115,0.7521367521367521,0.75,0.7555555555555555,False
0.0,0.25,0.18,0.012422561440271008,0.7606837606837606,0.7638888888888888,0.7555555555555555,True
0.0,0.3,0.12,0.013580643349691682,0.7435897435897436,0.75,0.7333333333333333,False
0.0,0.3,0.15,0.013326574250675892,0.7264957264957265,0.7222222222222222,0.7333333333333333,False
0.0,0.3,0.18,0.013067802635085423,0.7264957264957265,0.7222222222222222,0.7333333333333333,False
0.0,0.35,0.12,0.014050927500424627,0.7008547008547008,0.7083333333333334,0.6888888888888889,False
0.0,0.35,0.15,0.013795909609794934,0.6923076923076923,0.6944444444444444,0.6888888888888889,False
0.0,0.35,0.18,0.013619450603896853,0.7008547008547008,0.7083333333333334,0.6888888888888889,False
0.0,0.45,0.12,0.015232991485276655,0.6495726495726496,0.6388888888888888,0.6666666666666666,False
0.0,0.45,0.15,0.015102038719901397,0.6495726495726496,0.625,0.6888888888888889,False
0.0,0.45,0.18,0.014915333287817347,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.1,0.2,0.12,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.2,0.15,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.2,0.18,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.25,0.12,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.25,0.15,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.25,0.18,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.3,0.12,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.3,0.15,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.3,0.18,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.35,0.12,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.35,0.15,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.35,0.18,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.45,0.12,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.45,0.15,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.1,0.45,0.18,0.013303717992970693,0.6666666666666666,0.6527777777777778,0.6888888888888889,False
0.2,0.2,0.12,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.2,0.2,0.15,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.2,0.2,0.18,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.2,0.25,0.12,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.2,0.25,0.15,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.2,0.25,0.18,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.2,0.3,0.12,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.2,0.3,0.15,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.2,0.3,0.18,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.2,0.35,0.12,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.2,0.35,0.15,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.2,0.35,0.18,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.2,0.45,0.12,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.2,0.45,0.15,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
