month,ret_net,ret_gross,avg_gross_expo,positive,hit_2pct,in_band,shortfall_vs_2pct,cum_hit_rate
2019-01,-0.01562578810295634,-0.013412683044790152,0.394042429706848,False,False,False,-0.03562578810295634,0.0
2019-02,0.006186876639765915,0.007026323462622663,0.9363523600569036,True,False,False,-0.013813123360234086,0.5
2019-03,0.008636548043387426,0.009877327803093028,0.9932993995565903,True,False,False,-0.011363451956612574,0.6666666666666666
2019-04,0.023698757196961573,0.02459069832253591,0.9962365822775424,True,True,True,0.0036987571969615725,0.75
2019-05,0.003425355300541,0.004471146344628307,0.993701522119139,True,False,False,-0.016574644699459,0.8
2019-06,0.0559291618463571,0.05732077474824093,0.9964115868506639,True,True,False,0.0359291618463571,0.8333333333333334
2019-07,0.0004041777026799753,0.0011849236990588707,0.9961348640698731,True,False,False,-0.019595822297320025,0.8571428571428571
2019-08,-0.011874706661879952,-0.009013950215050137,0.9933265807507788,False,False,False,-0.031874706661879956,0.75
2019-09,1.6492997321204683e-06,0.0013151111518312497,0.9868456728047371,True,False,False,-0.01999835070026788,0.7777777777777778
2019-10,0.01164867167589101,0.014285441199624938,0.992399612872939,True,False,False,-0.008351328324108991,0.8
2019-11,0.01974040625456719,0.02244851069978071,0.9785882401141337,True,False,False,-0.00025959374543281163,0.8181818181818182
2019-12,0.03574328126755821,0.03712943449961226,0.9895828476446261,True,True,True,0.015743281267558213,0.8333333333333334
2020-01,0.023716725279873785,0.025169594418705366,0.9499179609484941,True,True,True,0.0037167252798737845,0.8461538461538461
2020-02,-0.030804148092039685,-0.02952747130315292,0.9033548809823293,False,False,False,-0.05080414809203969,0.7857142857142857
2020-03,-0.07189629289590083,-0.0691659129675729,0.6401745637495692,False,False,False,-0.09189629289590083,0.7333333333333333
2020-04,0.011777943882432584,0.01610389842174431,0.9086930516946242,True,False,False,-0.008222056117567416,0.75
2020-05,0.024718626746304873,0.027283088459193694,0.9511136401399303,True,True,True,0.004718626746304872,0.7647058823529411
2020-06,0.011535140240933828,0.014130033766031724,0.7295030478188981,True,False,False,-0.008464859759066173,0.7777777777777778
2020-07,0.10005439258724436,0.10518571960121315,0.7744050725232768,True,True,False,0.08005439258724435,0.7894736842105263
2020-08,0.07232371490387712,0.07461704288947102,0.9748432313016748,True,True,False,0.05232371490387712,0.8
2020-09,-0.04224902626017524,-0.040697606765943695,0.9755865718967603,False,False,False,-0.06224902626017524,0.7619047619047619
2020-10,-0.012531282659476894,-0.010825953934026522,0.9464125047203628,False,False,False,-0.0325312826594769,0.7272727272727273
2020-11,0.17402989449373862,0.17593310871242718,0.9475198604385996,True,True,False,0.15402989449373863,0.7391304347826086
2020-12,0.04338632522570185,0.043817434868854255,0.9614103174790769,True,True,False,0.02338632522570185,0.75
2021-01,0.052475788376131316,0.05465180768633027,0.9623964897233416,True,True,False,0.03247578837613131,0.76
2021-02,0.07127114777097354,0.07178617328754844,0.9947954404612209,True,True,False,0.05127114777097354,0.7692307692307693
2021-03,0.043831997178790605,0.044505973083019956,0.9940234671814718,True,True,False,0.023831997178790604,0.7777777777777778
2021-04,0.07068900005313528,0.07134184865538407,0.9963676099179322,True,True,False,0.05068900005313527,0.7857142857142857
2021-05,0.012712934390531672,0.014253630504073467,0.8887961829371354,True,False,False,-0.007287065609468329,0.7931034482758621
2021-06,0.005336668607424544,0.0064826090047140905,0.7282781763272642,True,False,False,-0.014663331392575456,0.8
2021-07,0.03902741305884594,0.040279927698453566,0.8980453298340695,True,True,True,0.01902741305884594,0.8064516129032258
2021-08,0.01925817941714958,0.019927746276608982,0.9736259485531876,True,False,False,-0.0007418205828504214,0.8125
2021-09,-0.026302517710128037,-0.02458489164754496,0.9952156003334109,False,False,False,-0.04630251771012804,0.7878787878787878
2021-10,0.025958900155846676,0.02696807154742764,0.9973883784625602,True,True,True,0.0059589001558466755,0.7941176470588235
2021-11,0.014899122337898918,0.015909880082594308,0.9981744138548442,True,False,False,-0.0051008776621010825,0.8
2021-12,0.008169616134990898,0.010143612837689941,0.9218772764556632,True,False,False,-0.011830383865009102,0.8055555555555556
2022-01,0.00018799192403506915,0.0029367906794659504,0.8925305258018089,True,False,False,-0.01981200807596493,0.8108108108108109
2022-02,-0.0289320375850719,-0.024916194529244207,0.7359672334901809,False,False,False,-0.048932037585071905,0.7894736842105263
2022-03,0.01978440773628498,0.02154484452424854,0.9929073825924313,True,False,False,-0.00021559226371501913,0.7948717948717948
2022-04,-0.019942057233215738,-0.01849382204642669,0.8756291715581633,False,False,False,-0.03994205723321574,0.775
