y,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,year,n>=2%,n>0,n
2019,-0.01562578810295634,0.006186876639765915,0.008636548043387426,0.023698757196961573,0.003425355300541,0.0559291618463571,0.0004041777026799753,-0.011874706661879952,1.6492997321204683e-06,0.01164867167589101,0.01974040625456719,0.03574328126755821,0.14452505929929949,3,10,12
2020,0.023716725279873785,-0.030804148092039685,-0.07189629289590083,0.011777943882432584,0.024718626746304873,0.011535140240933828,0.10005439258724436,0.07232371490387712,-0.04224902626017524,-0.012531282659476894,0.17402989449373862,0.04338632522570185,0.31977221379476517,6,8,12
2021,0.052475788376131316,0.07127114777097354,0.043831997178790605,0.07068900005313528,0.012712934390531672,0.005336668607424544,0.03902741305884594,0.01925817941714958,-0.026302517710128037,0.025958900155846676,0.014899122337898918,0.008169616134990898,0.38875313331296035,6,11,12
2022,0.00018799192403506915,-0.0289320375850719,0.01978440773628498,-0.019942057233215738,0.05097551043616555,-0.04085812117050158,0.039648783789514086,0.014424445544513942,-0.05776737083695793,0.02993849305627294,0.04295936561696534,-0.02811005042414305,0.015142703986114281,4,7,12
2023,0.021426921689808198,-0.05040094519074323,0.018114118794460454,0.010730588821534548,-0.013522720626339857,0.05481848163184222,0.04800479734976504,0.00528679275465449,-0.030945293388671247,0.021661590065285452,0.05057891356120581,0.06378482639510663,0.21069665104835789,6,9,12
2024,0.01003311279554664,0.039725731588038604,0.04046239737458057,-0.01877109188274373,0.01039568985531969,0.0069943578587119415,0.02238049029168443,-0.0068401881454441815,0.03787858567507385,-0.012941651937036225,0.08518761729409019,-0.03755121529000527,0.185149605468647,5,8,12
2025,0.03741699889244421,-0.017949514134748323,-0.013666769507600596,0.008423479856501492,0.0857120550686834,0.021559234056060195,0.026885158027833755,0.021813481115337208,0.023666463722178177,0.00329569747371794,0.004199653472101383,0.018368477016098117,0.2386196001659262,6,10,12
2026,0.027901391529521424,0.030261613074918037,-0.037710199179814,0.03333354618176054,0.024115965409056805,0.04175643760127001,0.0021753915388942335,0.011470032821388587,-0.002282383010213662,,,,0.13622700981151703,5,7,9
