variant,full/avg_monthly,full/geom_monthly,full/cagr,full/pct_pos,full/sharpe,full/max_dd,full/ann_vol,is_window/avg_monthly,is_window/geom_monthly,is_window/cagr,is_window/pct_pos,is_window/sharpe,is_window/max_dd,is_window/ann_vol,oos_2023_plus/avg_monthly,oos_2023_plus/geom_monthly,oos_2023_plus/cagr,oos_2023_plus/pct_pos,oos_2023_plus/sharpe,oos_2023_plus/max_dd,oos_2023_plus/ann_vol
as configured,0.01643927024625469,0.010988172885804559,0.1401261320800502,0.7526881720430108,1.434509899374984,-0.1499215414666878,0.09454758874320775,0.016700291969595254,0.010939161990784596,0.139463053632787,0.75,1.2991311311903881,-0.1499215414666878,0.1047287331782081,0.016160847074691422,0.011041380111137977,0.14084638395443716,0.7555555555555555,1.646004227332104,-0.11770141962122105,0.08211766154790827
notional budgets (not risk),0.023603492800904916,0.01482600364314779,0.19316098316712926,0.5913978494623656,1.1273424715582776,-0.2406795501485408,0.16939995491887302,0.026524027419334618,0.016429193392574204,0.21597756406570334,0.5833333333333334,1.1402636799898824,-0.2406795501485408,0.18680567547381138,0.020488255874579923,0.01308849855135974,0.16887647704783126,0.6,1.126702825869404,-0.21403081946777724,0.14826472362549298
no crash guard,0.016426268805902658,0.010973635972741924,0.1399294223154326,0.7526881720430108,1.3959880382854108,-0.164342726042359,0.09721468092348055,0.01651202429288762,0.010796840020892429,0.137539553711999,0.75,1.2507137432196311,-0.164342726042359,0.10768136652417551,0.016334796286452038,0.011165594559617631,0.14252946520764942,0.7555555555555555,1.6205197162330018,-0.11770141962122105,0.08443636802566847
no drawdown throttle,0.016540432003195948,0.011050487054409919,0.14096970398744268,0.7311827956989247,1.430806856211363,-0.15314401680907308,0.09536348156454134,0.016839798805911466,0.011021912824080493,0.14058281216405222,0.7083333333333334,1.2962885884154516,-0.15314401680907308,0.10580358935221652,0.016221107413632724,0.01108150716655909,0.14138984895545614,0.7555555555555555,1.6428505493295331,-0.11895050341118407,0.08258883620004634
no vol target,0.016481619824016566,0.010938564149542973,0.13945496749882502,0.7419354838709677,1.3674210607691781,-0.2015394782229265,0.09907746327660519,0.016580887704511018,0.010709540232877846,0.13636115901893597,0.7291666666666666,1.2108619813849937,-0.2015394782229265,0.11064103834020023,0.01637573408482248,0.011187243354005005,0.1428230349063484,0.7555555555555555,1.6169918236681289,-0.13312891155031759,0.08479904421300208
60d vol estimate,0.016008940023528845,0.010715912818868523,0.13644713992689317,0.7204301075268817,1.4097876105885665,-0.1568777115608614,0.09386648596355349,0.01563617820221835,0.010250958608632788,0.13018946442572088,0.7083333333333334,1.236057541284263,-0.1568777115608614,0.10334286929486,0.01640655263292671,0.011220893297954504,0.14327948414160852,0.7333333333333333,1.6666556995430852,-0.12194505025783342,0.08239192973860064
