,AAPL,ABBV,ABT,ACN,ADAUSDT,ADBE,ALGOUSDT,AMD,AMT,AMZN,ATOMUSDT,AVAXUSDT,AVGO,BA,BAC,BCHUSDT,BNBUSDT,BRK-B,BTCUSDT,BTCUSDT-PERP,CAT,CMCSA,COP,COST,CRM,CSCO,CVX,DASHUSDT,DIS,DOGEUSDT,DOTUSDT,DUK,EOSUSDT,ETCUSDT,ETHUSDT,ETHUSDT-PERP,GE,GLD,GOOGL,GS,HD,HON,ICXUSDT,INTC,INTU,IOTAUSDT,JNJ,JPM,KO,LIN,LINKUSDT,LLY,LMT,LOW,LRCX,LTCUSDT,MA,MCD,META,MRK,MS,MSFT,NANOUSDT,NEE,NEOUSDT,NFLX,NKE,NVDA,OMGUSDT,ORCL,PEP,PFE,PG,PLD,QCOM,QTUMUSDT,RMD,RTX,SBUX,SHW,SLB,SO,SOLUSDT,SPY,T,TLT,TMO,TRXUSDT,TSLA,TSM,TXN,UNH,UNP,UUP,V,VETUSDT,VZ,WAVESUSDT,WFC,WMT,XLMUSDT,XMRUSDT,XOM,XRPUSDT,ZECUSDT,ZILUSDT
2019-01-01,0.00026665864713629563,0.005275475527119364,0.0004085952991466861,0.0004300070356340247,-0.046141612255209276,0.0002637059396717884,0.0,0.005289278081995179,0.00043959112611414894,0.0002831478273520984,0.0,0.0,0.005470341891841403,0.0002933473503083519,0.005325282699206293,0.0,-0.04005928981679531,0.0003812785226673385,-0.061883883080554106,0.0,0.0003197656190185894,0.005313226894603705,0.00030729126173226846,0.0004687276416388614,0.0002616012627724581,0.0003282989105953397,0.0003909767271978677,0.0,0.0004565236200974409,0.0,0.0,0.0006429133054818775,0.021978021978021976,0.0,-0.04109471831020123,0.0,0.00370838423512418,0.0,0.00030093509326832536,0.00031777721729936155,0.0003944723345856822,0.0004968153378551349,0.0,0.0002999086366018059,0.00026957294961197086,0.0,0.0006436263464487236,0.0004487042042313766,0.0006469652115191783,0.0004032583023181382,0.0,0.0003949619668817619,0.00041973341269801827,0.00035944152072703295,0.005372364753133658,-0.045530240886099485,0.0002827993720804988,0.000475155175510431,0.002571495079549666,0.0005489128090432753,0.005297132030031024,0.005555280480934466,0.0,0.0006247070862455714,0.0,0.005284003997105581,0.0003530674986754806,0.0053978443319144835,0.0,0.0004306682528906392,0.0005317880252166586,0.0004454524400901365,0.00042459535669384557,0.0005357173520625687,0.00032141709965447424,0.0,0.00039327985500045966,0.00038428252236148144,0.0003607596553408511,0.00036379703457711706,0.005313109791813101,0.0006453814767271119,0.0,0.0,0.00037136997954467484,0.047619047619047616,0.0004073637211409321,0.021978021978021976,0.005288511731188256,0.0003396800412287506,0.00027380802750011536,0.00039139333508651526,0.00036493071937541413,0.0,0.00030043996041054997,0.0,0.0004940801808413284,0.0,0.0004709813990927476,0.0005092691539397977,0.0,0.0,0.0004821469458791609,-0.05100454136542629,0.0,0.0
2019-01-02,0.00026665864713629563,0.005275475527119364,0.0004085952991466861,0.0004300070356340247,0.0,0.0002637059396717884,0.0,0.005289278081995179,0.00043959112611414894,0.0002831478273520984,0.0,0.0,0.005470341891841403,0.0002933473503083519,0.005325282699206293,0.0,0.0,0.0003812785226673385,0.0,0.0,0.0003197656190185894,0.005313226894603705,0.00030729126173226846,0.0004687276416388614,0.0002616012627724581,0.0003282989105953397,0.0003909767271978677,0.0,0.0004565236200974409,0.0,0.0,0.0006429133054818775,0.021978021978021976,0.0,0.0,0.0,0.00370838423512418,0.0,0.00030093509326832536,0.00031777721729936155,0.0003944723345856822,0.0004968153378551349,0.0,0.0002999086366018059,0.00026957294961197086,0.0,0.0006436263464487236,0.0004487042042313766,0.0006469652115191783,0.0004032583023181382,0.0,0.0003949619668817619,0.00041973341269801827,0.00035944152072703295,0.005372364753133658,0.0,0.0002827993720804988,0.000475155175510431,0.002571495079549666,0.0005489128090432753,0.005297132030031024,0.005555280480934466,0.0,0.0006247070862455714,0.0,0.005284003997105581,0.0003530674986754806,0.0053978443319144835,0.0,0.0004306682528906392,0.0005317880252166586,0.0004454524400901365,0.00042459535669384557,0.0005357173520625687,0.00032141709965447424,0.0,0.00039327985500045966,0.00038428252236148144,0.0003607596553408511,0.00036379703457711706,0.005313109791813101,0.0006453814767271119,0.0,0.0,0.00037136997954467484,0.04221669651617994,0.0004073637211409321,0.021978021978021976,0.005288511731188256,0.0003396800412287506,0.00027380802750011536,0.00039139333508651526,0.00036493071937541413,0.05302139872191529,0.00030043996041054997,0.0,0.0004940801808413284,0.0,0.0004709813990927476,0.0005092691539397977,0.0,0.0,0.0004821469458791609,0.0,0.0,0.0
2019-01-03,0.00026590687024915236,0.00526060265270644,0.0004074433676215221,0.0004287947391112218,-0.04341890380098455,0.0002629624871995859,0.0,0.005274366294755499,0.00043835180966236706,0.00028234956337478453,0.0,0.0,0.0054549196407978956,0.0002925203313452135,0.005310269406017564,0.0,-0.049692527021362995,0.0003802036039126546,-0.0643741193640429,0.0,0.0003188641204013015,0.0052982475897193244,0.00030642493142319234,0.0004674061821207339,0.0002608637439066277,0.0003273733545118959,0.0003898744667983838,0.0,0.00045523656674398706,0.0,0.0,0.0006411007733600479,0.021916060481083313,0.0,-0.037050909384265945,0.0,0.0036979293798755225,0.0,0.00030008668257518255,0.0003168813244798639,0.0003933602192016745,0.0004954146921525154,0.0,0.00029906311974468093,0.000268812956583079,0.0,0.0006418118040874953,0.00044743919575133,0.0006451412560689083,0.0004021214171112,0.0,0.00039384847110282854,0.0004185500800672679,0.0003584281658988128,0.005357218723953346,-0.04309963216292424,0.0002820020904850511,0.0004738155951795795,0.0025642453969049474,0.0005473652876434359,0.005282198100563182,0.005539618766934131,0.0,0.000622945881972927,0.0,0.005269107078819761,0.00035207211379688694,0.0053826264694798315,0.0,0.00042945409223233485,0.0005302887828312687,0.0004441965991400016,0.00042339831703667053,0.0005342070319298921,0.00032051094510352374,0.0,0.00039217110151226964,0.00038319913458633527,0.00035974258436411127,0.0003627714004747039,0.005298130817070541,0.0006435619862181622,0.0,0.0,0.00037032299543146937,0.041612530756959656,0.0004062152617397341,0.021916060481083313,0.00527360210448164,0.0003387223989142708,0.00027303609473588867,0.0003902899001660284,0.00036390188913427524,0.053357064661068015,0.000299592945619781,0.0,0.0004926872462249527,0.0,0.0004696535856731762,0.0005078333978397105,0.0,0.0,0.00048078765401290686,-0.047272694520502395,0.0,0.0
2019-01-04,0.0002657577334763882,0.005257652186245442,0.0004072148485581587,0.00042855424489793065,-0.028792039421731724,0.00026281500181621754,0.0,0.005271408108805513,0.0004381059552616624,0.00028219120453797217,0.0,0.0,0.005451860189531541,0.0002923562681220864,0.005307291083415445,0.0,-0.04966465642477586,0.0003799903625683159,-0.0643380144360187,0.0,0.0003186852819763207,0.005295276009684195,0.0003062530696532271,0.0004671440322578658,0.00026071743562636044,0.00032718974359001517,0.0003896558014449578,0.0,0.0004549812423428356,0.0,0.0,0.0006407412049883622,0.0,0.0,-0.022427616564241352,0.0,0.0036958553557891664,0.0,0.00029991837568131845,0.0003167035981276344,0.00039313959882593706,0.0004951368334108502,0.0,0.000298895386927211,0.0002686621899000504,0.0,0.0006414518369264594,0.00044718824459087295,0.0006447794215483599,0.0004018958829219137,0.0,0.000393627576885679,0.00041831533168290716,0.0003582271375467442,0.005354214069313421,-0.04307545926343474,0.0002818439265322045,0.00047354985052738537,0.002562807211864029,0.000547058291842817,0.0052792355220593595,0.005536511811237688,0.0,0.0006225964959703874,0.0,0.005266151842558481,0.00035187465030606883,0.005379607564628291,0.0,0.00042921322821364336,0.0005299913645749056,0.0004439474666252739,0.0004231608494656467,0.0005339074160807218,0.00032033118303891994,0.0,0.0003919511480661774,0.0003829842131658971,0.00035954081880608857,0.0003625679361720809,0.005295159302528628,0.0006432010374483605,0.0,0.0,0.00037011529573432637,0.0399495402820194,0.0004059874314729695,0.014602512412777621,0.005270644347136116,0.00033853242275686777,0.0002728829594596964,0.0003900710018122602,0.0003636977907847388,0.05496679040103515,0.00029942491564368155,0.0,0.0004924109172011286,0.0,0.00046939017532947666,0.0005075485739313071,0.0,0.0,0.000480517999005358,-0.04724618111340597,0.0,0.0
2019-01-05,0.0002654928064128918,0.005252410967725224,0.00040680890652731186,0.00042812703017057507,-0.02876333737661607,0.0002625530082863842,0.0,0.005266153177359158,0.00043766921867940186,0.00028190989536896013,0.0,0.0,0.005446425370037439,0.00029206482566208647,0.005302000381152683,0.0,-0.049615147003491816,0.00037961155992880164,-0.06427387752074341,0.0,0.0003183675927981767,0.005289997284940054,0.0003059477738284597,0.0004666783483619465,0.0002604575331064251,0.00032686357653236616,0.00038926736357750306,0.0,0.0004545276832200093,0.0,0.0,0.0006401024665265375,0.0,0.0,-0.02240525904892142,0.0,0.0036921710524437518,0.0,0.0002996193947503837,0.0003163878844392567,0.0003927476880502893,0.0004946432442099319,0.0,0.00029859742578750893,0.00026839436745849173,0.0,0.0006408123900538948,0.0004467424541074885,0.0006441366574920924,0.00040149524323139166,0.0,0.00039323517965722803,0.00041789832386534106,0.00035787003010767345,0.005348876590730353,-0.04303251844368081,0.00028156296355572307,0.00047307778083564655,0.0025602524151321893,0.0005465129434726173,0.0052739727876656315,0.005530992604714597,0.0,0.0006219758455032759,0.0,0.0052609021509490385,0.00035152387549848373,0.005374244771921501,0.0,0.000428785356562734,0.0005294630297864552,0.00044350490679026473,0.0004227390112757693,0.0005333751774810356,0.00032001185310425074,0.0,0.00039156042202658897,0.0003826024260335631,0.0003591824017918877,0.00036220650150227255,0.005289880694126854,0.0006425598468426911,0.0,0.0,0.00036974633729548295,0.039830394946449243,0.00040558271302271165,0.014587955542945152,0.005265390177064166,0.00033819494847348144,0.00027261092944129504,0.000389682150042216,0.00036333522979186626,0.054991316082694246,0.00029912642663039305,0.0,0.0004919200453961158,0.0,0.0004689222523111793,0.0005070426117848269,0.0,0.0,0.0004800389829452478,-0.04719908260808662,0.0,0.0
2019-01-06,0.0002652565786269587,0.005247737525041481,0.00040644693978107406,0.00042774609517726294,0.014574975603918702,0.0002623193962474158,0.0,0.005261467507256528,0.00043727979332397845,0.00028165906013423035,0.0,0.0,0.0054415792989751105,0.00029180495486540734,0.005297282815249566,0.0,0.0,0.000379273792591418,0.0,0.0,0.00031808431856345936,0.005285290399043228,0.00030567555038783556,0.00046626311152571744,0.00026022578556039315,0.0003265727428181512,0.0003889210047865574,0.0,0.00045412325769261715,0.0,0.0,0.0006395329219483589,0.0,0.0,0.014574975603918702,0.0,0.003688885865907855,0.0,0.00029935280211760846,0.0003161063716915218,0.00039239823256773966,0.0004942031250218257,0.0,0.0002983317424730262,0.0002681555579478376,0.0,0.0006402422138063866,0.0004463449556507808,0.0006435635234079956,0.0004011380044283797,0.0,0.0003928852904188094,0.0004175264900777305,0.0003575516077518802,0.005344117315737823,0.0,0.0002813124370108415,0.0004726568499703215,0.0025579743769147774,0.0005460266721330482,0.00526928015990093,0.005526071288183738,0.0,0.0006214224294658613,0.0,0.005256221153057153,0.0003512110997666905,0.005369462925058354,0.0,0.0004284038358097241,0.0005289919289647426,0.0004431102890091012,0.0004223628703851347,0.0005329005957439619,0.00031972711585448286,0.0,0.00039121202293885426,0.00038226199751041135,0.00035886281172589743,0.00036188422068021746,0.005285173911969147,0.0006419881157589001,0.0,0.0,0.0003694173477465897,0.039702181900306506,0.0004052218373078303,0.014574975603918702,0.005260705185857032,0.00033789403243371727,0.00027236836815629006,0.00038933542218632457,0.00036301194466017143,0.05503515952516507,0.0002988602726263291,0.0,0.0004914823492311985,0.0,0.0004685050189144071,0.0005065914599996843,0.0,0.0,0.0004796118582045255,0.0,0.0,0.0
2019-01-07,0.0002641335034219506,0.005225519022762399,0.0004047260758440424,0.00042593505231446483,0.014513266319274045,0.0002612087568384212,0.0,0.0052391908733274385,0.00043542838554334857,0.0002804665381302898,0.0,0.0,0.005418540086080192,0.00029056947595210684,0.005274854542161988,0.0,0.0,0.0003776679775930732,0.0,0.0,0.00031673757491951416,0.005262912900889712,0.0003043813444789953,0.0004642889906866604,0.00025912401033212394,0.0003251900598626934,0.0003872743442609503,0.0,0.0004522005360267793,0.0,0.0,0.0006368251905467688,0.0,0.0,0.014513266319274045,0.0,0.003673267417266352,0.0,0.0002980853662208318,0.0003147680025169307,0.0003907368497369463,0.0004921107083932825,0.0,0.0002970686296613756,0.0002670202086955205,0.0,0.0006375314793196214,0.0004444551666956243,0.0006408387267611852,0.0003994396181003501,0.0,0.0003912218454239077,0.00041575871620811496,0.00035603776275223693,0.00532149074910929,0.0,0.0002801213825815691,0.00047065565855246256,0.0025471441173501347,0.000543714838737926,0.005246970447823447,0.005502674342943053,0.0,0.0006187913764454931,0.0,0.005233966731773453,0.00034972409997232804,0.005346729047140762,0.0,0.0004265900081255298,0.0005267522193140154,0.00044123419537460575,0.0004205746196669021,0.0005306443371097293,0.0003183734167377876,0.0,0.00038955566242505316,0.00038064353069068905,0.00035734341519317036,0.0003603520317428747,0.005262796907012615,0.0006392699892624686,0.0,0.0,0.00036785326414986384,0.04716811553764065,0.000403506160356993,0.014513266319274045,0.005238431779535969,0.0003364634160406732,0.00027121518220143753,0.00038768700705048834,0.0003614749810294109,0.0,0.0002975949220601491,0.0,0.0004894014521504255,0.0,0.0004665214060182136,0.0005044465921485665,0.0,0.0,0.00047758121983632556,0.0,0.0,0.0
2019-01-08,0.0002643417022157592,0.005229637950287565,0.0004050450943696061,0.00042627078845919395,0.014524706157472343,0.0002614146502499024,0.0,0.005243320577458979,0.000435771604648406,0.00028068761116413786,0.0,0.0,0.005422811159213703,0.0002907985124568557,0.005279012357580957,0.0,0.0,0.00037796566802755554,0.0,0.0,0.00031698723798837057,0.005267061303510695,0.00030462126795692356,0.00046465495867855565,0.0002593282604772175,0.00032544638546071425,0.00038757960675246905,0.0,0.000452556975497504,0.0,0.0,0.000637327157297753,0.0,0.0,0.014524706157472343,0.0,0.0036761628085578905,0.0,0.0002983203269997377,0.00031501611310345064,0.0003910448414901994,0.000492498606386458,0.0,0.0002973027890147806,0.00026723068288623354,0.0,0.0006380340027908576,0.0004448055010091787,0.0006413438571146201,0.0003997544696644662,0.0,0.00039153021946685795,0.00041608643102697944,0.00035631840353348955,0.005325685324734399,0.0,0.0002803421835523582,0.00047102664496327505,0.002549151860881412,0.0005441434128193451,0.005251106284073804,0.005507011733490183,0.0,0.0006192791283456727,0.0,0.005238092318063235,0.0003499997641150314,0.005350943516430022,0.0,0.00042692626052816675,0.0005271674228958268,0.00044158199081166305,0.00042090613054070934,0.000531062608587964,0.00031862436923145763,0.0,0.0003898627231272642,0.00038094356655487947,0.0003576250851330107,0.0003606360731741334,0.005266945218203374,0.0006397738830849418,0.0,0.0,0.00036814321830146656,0.03945254268749614,0.0004038242173046816,0.014524706157472343,0.005242560885324589,0.00033672862767218854,0.00027142896300949625,0.0003879925948165138,0.00036175990760656723,0.05495804733607408,0.0002978294962546901,0.0,0.000489787214617912,0.0,0.0004668891336739655,0.0005048442136947375,0.0,0.0,0.0004779576652043966,0.0,0.0,0.0
2019-01-09,0.0002644212358318081,0.0052312114137756435,0.00040516696201571735,0.0004263990423704686,0.0145290762677995,0.00026149330319133484,0.0,0.005244898157697487,0.0004359027171107931,0.00028077206284356975,0.0,0.0,0.005424442743549535,0.0002908860062463088,0.005280600676557667,0.0,0.0,0.00037807938817109924,0.0,0.0,0.00031708261129143717,0.005268646026722765,0.0003047129206578138,0.0004647947613989323,0.0002594062856776552,0.00032554430390358105,0.00038769621948278534,0.0,0.0004526931382460517,0.0,0.0,0.0006375189126394231,0.0,0.0,0.0145290762677995,0.0,0.003677268871350474,0.0,0.0002984100839096324,0.00031511089334576115,0.00039116249682047947,0.000492646786543946,0.0,0.00029739223977367927,0.00026731108572222576,0.0,0.0006382259708041478,0.0004449393315385169,0.0006415368209779058,0.00039987474549774425,0.0,0.0003916480208348812,0.0004162116207271707,0.0003564256105721832,0.005327287686405918,0.0,0.0002804265313015104,0.00047116836476009593,0.0025499188350805425,0.0005443071315701436,0.0052526862068310864,0.005508668651612131,0.0,0.0006194654534998502,0.0,0.005239668325253025,0.0003501050700377178,0.005352553477641468,0.0,0.0004270547116541201,0.0005273260340080903,0.0004417148514697315,0.00042103277036446184,0.0005312223916613698,0.00031872023510518796,0.0,0.0003899800227885476,0.0003810581826714616,0.0003577326853185736,0.0003607445792885179,0.005268529906488363,0.0006399663745834411,0.0,0.0,0.000368253983122643,0.047219497870348376,0.0004039457176203001,0.0145290762677995,0.005244138236991281,0.00033682994065141757,0.00027151062899994575,0.0003881093318043114,0.0003618687518538134,0.0,0.0002979191054862438,0.0,0.0004899345789873874,0.0,0.0004670296086001076,0.0005049961083277824,0.0,0.0,0.00047810147036685623,0.0,0.0,0.0
2019-01-10,0.0002645585445825149,0.005233927879046101,0.000405377357255748,0.00042662046301252205,-0.02539427855955222,0.0002616290915241684,0.0,0.005247621730225057,0.00043612907282434947,0.0002809178622573768,0.0,0.0,0.005427259550051684,0.0002910370576321406,0.0052833427887015675,0.0,-0.0478784356610158,0.0003782757173664245,-0.06923763693197099,0.0,0.0003172472660593884,0.005271381931051968,0.00030487115208853883,0.0004650361201832295,0.00025954099026331313,0.00032571335266219566,0.00038789754250959693,0.0,0.00045292821289529667,0.0,0.0,0.000637849963680657,0.0,0.0,-0.020539220314767972,0.0,0.0036791784048005754,0.0,0.000298565042401113,0.0003152745242393363,0.00039136561981698465,0.000492902608337484,0.0,0.0002975466697187053,0.0002674498951151821,0.0,0.0006385573890067897,0.00044517037978833565,0.00064186995843997,0.0004000823925937528,0.0,0.0003918513959544644,0.0004164277512413933,0.00035661069538639494,0.005330054042196424,-0.04016176992017444,0.0002805721512875789,0.0004714130332313488,0.0025512429578142828,0.0005445897795654968,0.005255413823539502,0.005511529194972921,0.0,0.0006197871297345842,0.0,0.005242389182031397,0.00035028687271945687,0.0053553329534607765,0.0,0.0004272764727723457,0.0005275998640532341,0.000441944225310426,0.00042125140440693387,0.0005314982450084621,0.00031888574025899904,0.0,0.0003901825317495289,0.00038125605869622416,0.0003579184488710112,0.00036093190685829694,0.005271265750518611,0.0006402986965435589,0.0,0.0,0.0003684452101782397,0.04724401802751799,0.00040415547869211916,0.014536620931543995,0.005246861414906965,0.00033700484981938203,0.00027165161913318643,0.000388310869352232,0.0003620566631843106,0.0,0.00029807380902227906,0.0,0.0004901889923848484,0.0,0.0004672721278966316,0.0005052583428814034,0.0,0.0,0.00047834973906358413,-0.05117952491453852,0.0,0.0
