,equity_core,btc_trend,defensive,wd_mom
2019-01-01,,,,
2019-01-02,,,,
2019-01-03,,-0.03731474739831489,,0.05013217453314256
2019-01-04,-0.0003382476663686269,,0.0002961269190746209,-0.03439954479600699
2019-01-05,7.512114410416059e-05,-0.01685415319324069,3.0423279792543446e-05,0.042438156828673024
2019-01-06,7.512114410416059e-05,-0.012791557234449106,3.0423279792543446e-05,0.021343427180395738
2019-01-07,0.005776774403146819,-0.05946518650549809,-0.0031031579680632026,0.043246281872811064
2019-01-08,0.005153893064105459,,-0.0011875792830958762,-0.0021608253015541097
2019-01-09,-0.0007534547425019532,,-0.0011816835436141801,0.03467250296792653
2019-01-10,-0.0008418460579337275,,-0.0013656614702166263,0.051345118031396485
2019-01-11,0.0015253894095124568,,-0.001239949331626769,-0.13239437772071913
2019-01-12,7.512560422431022e-05,0.0022545548404099823,6.090249997116447e-05,-0.014457831835472001
2019-01-13,7.512560422431022e-05,0.005512984530224278,6.090249997116447e-05,-0.027681237742574912
2019-01-14,0.00020746392204258282,0.05389679103380746,0.0002535233478970132,-0.07390669697054808
2019-01-15,0.0017567268037597162,-0.0737851339204947,-0.0008739886077428064,0.1294843619199188
2019-01-16,0.002421559915899612,0.03200185747234939,-0.0026139837987310404,-0.047696225962309616
2019-01-17,-0.0017691123567499375,-0.025032345257246905,0.001811845702217286,0.030203778238306243
2019-01-18,0.004034982502710096,-0.008717318849525393,-0.0009887464580662828,0.013113697405935404
2019-01-19,7.512114410416059e-05,0.006863387684193059,6.096283556649588e-05,-0.008119213030936694
2019-01-20,7.512114410416059e-05,-0.021668449312701232,6.096283556649588e-05,0.013733548898636571
2019-01-21,7.512114410416059e-05,0.033173227130242976,6.096283556649588e-05,-0.031846091468390646
2019-01-22,-0.0010934681173197058,-0.0004130579553599317,0.0013639248610165604,0.004540488477906859
2019-01-23,-0.0015185917731981866,-0.004360645509891264,-0.00226242916621082,0.005133933892188342
2019-01-24,-0.0006787451313795934,0.0020299269636452114,0.00286460613010542,0.00021690317616393035
2019-01-25,0.014216800085538878,-0.002097700346484515,-0.0029018364081353186,0.002909932338800913
2019-01-26,8.400035701682703e-08,-0.0011283630026169699,3.5482149828193553e-07,0.0017658299908477257
2019-01-27,8.400035701682703e-08,-0.002479877695097114,3.5482149828193553e-07,0.008666150863490273
2019-01-28,-0.01603619423726319,0.005489201289321815,-0.0029771420617339017,-0.00212654226269425
2019-01-29,0.0026332390567630746,0.02681933808225383,0.00367686482355293,-0.021472832429665564
2019-01-30,0.005099011646040639,0.004582676863793815,0.0020756758415554273,-0.00046506376616443484
2019-01-31,0.016987340782941143,-0.016534103842316482,0.008079360264306026,0.004607498914158786
2019-02-01,0.012889762656904466,0.005793308446869963,-0.00034963864171582906,-0.006907484047776648
2019-02-02,5.383648826379899e-08,-0.005847090283939533,2.5658443088987584e-07,0.009273636521080498
2019-02-03,5.383648826379899e-08,-0.011810846459092592,2.5658443088987584e-07,0.008716555475053839
2019-02-04,0.0009420038357360057,0.008616389472079393,-0.00785979278457682,-0.006525014076528131
2019-02-05,0.007175641398469551,-0.003593442948528177,0.002409752387015093,0.00856033550602757
2019-02-06,0.00808948755848825,-0.006861646325487673,0.002105524594547504,0.008059316272828293
2019-02-07,-0.009614904443793051,0.012242579389337207,-0.0010405925409477123,-0.00904006369337945
2019-02-08,-0.01559006998998897,0.0014729944625628984,0.0030348426959971803,-0.00029186821009000814
2019-02-09,2.0265975426176992e-20,-0.06390744038654309,1.683702410087336e-07,0.05776628534069415
2019-02-10,2.0265975426176992e-20,,1.683702410087336e-07,0.0077226275323861344
2019-02-11,0.011134889980527592,,-0.0016306894626185108,0.006783878266345199
2019-02-12,0.0075890360832091,,0.0016719273210544807,-0.010399429942971175
2019-02-13,0.0066922464586135315,,-0.0012062650341226578,0.005370402254977444
2019-02-14,-0.005661294306795564,,0.003916271499355945,-0.010881901791240635
2019-02-15,0.014647075674529199,,4.144615744795739e-05,-0.00782496693642048
2019-02-16,2.0265975426176992e-20,,1.2755524571016155e-07,0.009951742866060532
2019-02-17,2.0265975426176992e-20,,1.2755524571016155e-07,-0.0025045342009121095
2019-02-18,2.0265975426176992e-20,,1.2755524571016155e-07,0.009392674538739317
2019-02-19,-0.002941644104293099,,0.0047456631997072115,0.02975726923219259
2019-02-20,0.006755691367595931,,0.0001314461325209601,0.008628468614175587
2019-02-21,-0.0008102065479338016,,-0.004591165157375543,0.02079962818962658
2019-02-22,-0.0025448257745893012,,0.00024348193735080964,-0.013392411025962175
2019-02-23,2.0265975426176992e-20,,0.0,0.004275586953033352
2019-02-24,2.0265975426176992e-20,,0.0,0.015635243971973866
2019-02-25,0.017562997166643418,,-0.0010165706699527231,-0.04090963174189651
2019-02-26,-0.008442970278218227,,2.3570241329381344e-05,0.004538733595700932
2019-02-27,-0.0008282813468075798,,-0.0033316633747837187,-0.006071109188962337
2019-02-28,-9.704978004266342e-05,,-0.0017702713709415764,0.004766135311266143
2019-03-01,0.002924639103856201,,-0.009116429983073987,0.0039570542007365895
2019-03-02,4.9907879135209716e-08,,2.6301321241156153e-07,0.009014132579955059
2019-03-03,4.9907879135209716e-08,,2.6301321241156153e-07,-0.0024565497307185435
2019-03-04,0.0013155322263764676,,-0.0022177430508750944,-0.0019112529946261007
2019-03-05,-0.010901094981011121,,0.00030165053553244623,-0.012821243273608304
2019-03-06,-0.00605271351524958,-0.0397421611872434,0.0006365269992118156,0.03558691213443865
2019-03-07,-0.012836144811939162,,0.002477910578506366,0.003247133853116618
2019-03-08,-0.018690468228899682,,0.005207517951896311,0.01782944012603225
2019-03-09,1.1877344321824964e-07,,5.358133394727016e-07,-0.010674469217930206
2019-03-10,1.1877344321824964e-07,,5.358133394727016e-07,0.020993450712891437
2019-03-11,0.015820200883559413,,-0.0016941586048777688,-0.008166149979497345
2019-03-12,0.019885192443460407,,-0.001317500878268293,-0.010667333347409231
2019-03-13,0.005157117375143159,,0.0012844648431005509,0.012493781773963224
2019-03-14,0.006122294193524299,,-0.002618596637575761,-0.00736447627637001
2019-03-15,0.005015523218086909,,0.0013735828676181246,0.0006441775856734029
2019-03-16,6.885722909094404e-08,,3.9414850761848525e-07,0.007929980077756084
2019-03-17,6.885722909094404e-08,,3.9414850761848525e-07,0.01112000723536064
2019-03-18,0.003364146255680644,,-0.0012177508473580072,-0.0058914378074054015
2019-03-19,0.006879054787592261,,-0.0007113006453028639,-0.0036857953350398352
2019-03-20,0.0043138210024138285,,0.0018120466116729134,0.005642647719745788
2019-03-21,-0.0051701842622954965,,0.0031624074375028247,-0.003504418083199767
2019-03-22,0.012671476797832374,,0.004073305916777897,-0.01380521010444972
2019-03-23,2.0265975426176992e-20,,4.314695432405059e-07,0.007633253337283835
2019-03-24,2.0265975426176992e-20,,4.314695432405059e-07,0.006870706249327011
2019-03-25,-0.02441442313449531,,0.001959496302773618,0.004139101722368562
2019-03-26,0.011073554057051778,,0.0008560876365477008,-0.009736793301042806
2019-03-27,0.0001454352264732851,,0.0024505374211375554,0.002024961651938397
2019-03-28,-0.0037305403354023535,,-0.00044343471714369126,0.016596871626124693
2019-03-29,0.009787403324392825,,-0.0006550629672632698,0.0002944591886317177
2019-03-30,7.132366927708567e-08,,5.271149906129183e-08,0.010158409705426811
2019-03-31,7.132366927708567e-08,,5.271149906129183e-08,0.0003566647640479635
2019-04-01,0.009981555708181633,,-0.0009004052628337827,0.0012309255299615283
