,equity_core,btc_trend,defensive,wd_mom,wq_earnings
equity_core,1.0,-0.0018318719213354206,-0.20395769336011185,0.10998197884412958,-0.04376375072884408
btc_trend,-0.0018318719213354206,1.0,0.025693876112578284,0.20350293637668257,-0.028964386163250408
defensive,-0.20395769336011185,0.025693876112578284,1.0,0.012701676953510944,-0.04590467107678143
wd_mom,0.10998197884412958,0.20350293637668257,0.012701676953510944,1.0,-0.05249302388908051
wq_earnings,-0.04376375072884408,-0.028964386163250408,-0.04590467107678143,-0.05249302388908051,1.0
