,ret_gross,ret_net,cost,gross_exposure,turnover,nav_gross,nav_net
2019-01-01,,,0.0,0,0.0,1,1
2019-01-02,,,0.0,0,0.0,1,1
2019-01-03,-0.008396563450786607,-0.008396563450786607,0.0,0.3296703296703296,0.0,0.9916034365492133,0.9916034365492133
2019-01-04,-0.0016221033120652041,-0.0019361024488600614,0.0003139991367948574,0.2325217178265221,0.47427995958476377,0.9899949533305316,0.9896835907074123
2019-01-05,-0.0029584935091830447,-0.003243526218431005,0.00028503270924796033,0.5173065810867278,0.2850327092479603,0.9870660596869791,0.9864735260330019
2019-01-06,-0.0026344621962355957,-0.0026930566238154595,5.859442757986368e-05,0.45871215350686406,0.058594427579863675,0.9844656714675465,0.9838168969695001
2019-01-07,-0.01272789374461591,-0.012728343488502526,4.4974388661708634e-07,0.45791123799515954,0.0014722473900100916,0.9719354970058856,0.9712945375750797
2019-01-08,0.0024729548883478283,0.0021880039983339203,0.0002849508900139081,0.23165352630567096,0.2877770655850975,0.9743390496443649,0.9734197339068539
2019-01-09,0.0009845816834335704,0.0009749834813466174,9.59820208695297e-06,0.18315172074285285,0.06293895607406064,0.9752983660260988,0.9743688020678298
2019-01-10,0.0016411215700786463,0.001631675277444684,9.446292633962373e-06,0.23050138201960854,0.06278080697704477,0.9768989492118467,0.9759586555532774
2019-01-11,-0.00511257388488497,-0.005121999920976748,9.426036091778425e-06,0.18335123608375495,0.0627659487362945,0.9719044811559346,0.970959795396657
2019-01-12,8.866722779691757e-05,-0.0001947893357044459,0.0002834565635013635,0.4086914945139204,0.2834565635013634,0.9719906572319621,0.970770662783116
2019-01-13,0.000462701770721295,0.0004188629088126372,4.3838861908657784e-05,0.4227416956268556,0.04383886190865778,0.9724403990301879,0.9711772826067193
2019-01-14,0.012657523009061327,0.012657508887405149,1.412165617818635e-08,0.4228175074797273,7.581185287176123e-05,0.9847490857558532,0.9834699676925599
2019-01-15,-0.014946002201471657,-0.014946076490237435,7.428876577724338e-08,0.42261584533519625,0.000278252482092099,0.9700310237522489,0.9687709503295756
2019-01-16,0.007944927395465895,0.00794365943063139,1.2679648345051547e-06,0.42439507096462215,0.0017792256294259735,0.97773784980731,0.976466536825283
2019-01-17,-0.0067003979920329144,-0.00670192206368619,1.5240716532754372e-06,0.4222759622984249,0.0021191086661972356,0.9711866170817266,0.9699223341976824
2019-01-18,2.0308321262839908e-05,1.9521757453480897e-05,7.865638093590095e-07,0.42336962097342723,0.0010936586750023036,0.9712063402515525,0.9699412687862393
2019-01-19,0.0017136787864498366,0.0017130439915216315,6.347949282050382e-07,0.42273482604522217,0.0006347949282050382,0.9728706759541071,0.9716028208488624
2019-01-20,-0.0056542911945545345,-0.005749811990138245,9.552079558371057e-05,0.4009723962759838,0.04352133660665369,0.9673697818576196,0.9660162872998935
2019-01-21,0.008427557453318574,0.00842728255508454,2.748982340336823e-07,0.4011154820692922,0.00014308579330847386,0.975522346272829,0.9741571795057835
2019-01-22,-0.0002075438217361284,-0.0006176862279979107,0.00041014240626178225,0.1855919734811164,0.21552350858817587,0.9753198826368945,0.9735554560320975
2019-01-23,-0.001485576933145595,-0.0015080061437927953,2.2429210647200327e-05,0.22817577004635592,0.06931462853487273,0.9738709699168109,0.9720873284230781
2019-01-24,0.0013392599845468407,0.0012091847860431246,0.00013007519850371613,0.6453096469542717,0.41713387690791565,0.9751752363369323,0.9732627616313126
2019-01-25,0.0025139312489541312,0.0024444977859223657,6.943346303176547e-05,0.46627328855225364,0.286329043712042,0.977626759836766,0.9756419002972411
2019-01-26,-6.939786462406031e-05,-7.151668423985454e-05,2.118819615794228e-06,0.46741251636466313,0.0011392278124094525,0.977558914627234,0.9755721256235264
2019-01-27,-0.00013207273647279234,-0.00013788736207377927,5.814625600986939e-06,0.4702612386079133,0.0028487222432501784,0.9774298057463159,0.9754376065566114
2019-01-28,-0.004038514650038447,-0.0040954417071160255,5.6927057077579004e-05,0.6482639606234298,0.27340345268980354,0.9734824411564251,0.9714427587000299
2019-01-29,0.005034379126395399,0.0049311685685855125,0.00010321055780988625,0.6580711997441452,0.45122592847192305,0.9783833208380954,0.9762331066979115
2019-01-30,0.0027766046641890915,0.002748393334698812,2.8211329490279558e-05,0.7384997744099727,0.08042857466582756,0.9810999045300992,0.9789161792614723
2019-01-31,0.005593122983473059,0.005575587319119566,1.753566435349332e-05,0.7109461653080039,0.043266158748383014,0.9865873169552098,0.9843742118970437
2019-02-01,0.003934127159244116,0.003930472801281073,3.654357963043471e-06,0.7059576050815014,0.01048353842379417,0.9904686769138091,0.9882432679631874
2019-02-02,-0.0006823613721456786,-0.0006894621864165192,7.1008142708406355e-06,0.7101074444187583,0.0041498393372568915,0.9897928193483628,0.9875619115989461
2019-02-03,-0.0015994237085997845,-0.0015997267323835198,3.030237837353944e-07,0.7102888644608184,0.00018142004206004626,0.9882097212464952,0.9859820824090776
2019-02-04,-0.0011613858801945251,-0.001184239886986109,2.2854006791583932e-05,0.6791245398772856,0.07133139216595175,0.9870620284295686,0.9848144430992352
2019-02-05,0.002468187089318934,0.0024540355569181876,1.4151532400746425e-05,0.6892769731001464,0.012440121503682273,0.9894982821844953,0.9872312127595674
2019-02-06,0.003532414093177764,0.0033885712588481113,0.0001438428343296528,0.9929233284261194,0.3079628959243215,0.9929935998616591,0.9905765160729623
2019-02-07,-0.002811859724008808,-0.0028386158952137005,2.6756171204892334e-05,0.9932979050473786,0.02131041328252573,0.9902014411520097,0.9877646498290121
2019-02-08,-0.0036877405240095945,-0.0038282027630901056,0.00014046223908051108,0.993647084985869,0.44875586891876257,0.9865498351705407,0.983983286467254
2019-02-09,-0.008009623192619473,-0.008010227076253694,6.038836342207393e-07,0.9933621430905524,0.00032445688320180063,0.9786479427300839,0.9761013569034129
