,ret_net,ret_gross,nav_net,gross_exposure
2010-01-04,,,1,0
2010-01-05,,,1,0
2010-01-06,-0.0015850382641091573,-0.0015850382641091573,0.9984149617358908,0.7565572836875222
2010-01-07,-0.000592282095670787,-0.000592282095670787,0.9978236184300049,0.7565572836875222
2010-01-08,-2.724645677718363e-05,-2.718645614017686e-05,0.9977964312719141,0.7561572794408103
2010-01-11,0.007328577347875022,0.007329727136363955,1.005108859595924,0.7635237201998519
2010-01-12,-0.005484725934589532,-0.005484724855232422,0.9995961129666127,0.7635165244857891
2010-01-13,-0.0014518237048917661,-0.0014517393944133482,0.9981448756344901,0.7640785943419093
2010-01-14,0.0037693453093187116,0.0037695550428746643,1.0019072283394834,0.762680370635558
2010-01-15,0.0006652133927846355,0.0006652685913614815,1.0025737104461026,0.7623123801232519
2010-01-19,-0.005759197821169254,-0.005759054587006764,0.9967996901173397,0.7632672745398493
2010-01-20,0.00431015171384215,0.0043101770660507474,1.0010960480100564,0.7634362892638284
2010-01-21,-0.0016704670412157857,-0.0016702473030668712,0.9994237500567642,0.7619713682710647
2010-01-22,-0.013873109058976759,-0.013871829638018645,0.9855586353760952,0.7705008413251531
2010-01-25,-0.007360036612737374,-0.007358815970784346,0.9783048877357278,0.7777798676483179
2010-01-26,-0.006282908563987234,-0.006281267950353392,0.9721582875783824,0.7815415918232467
2010-01-27,0.001243694364088612,0.0012439787427412211,0.9733673553616456,0.7796457341391854
2010-01-28,0.006067838059071647,0.006068080128090846,0.9792735908459671,0.7780319406778559
2010-01-29,-0.005785478413526003,-0.005785430706251951,0.9736080246251916,0.7783499891715324
2010-02-01,-0.004321643024110268,-0.004320983994407723,0.9694004382973523,0.7799075843759457
2010-02-02,0.0052972837709948485,0.005297923051235948,0.9745356275067402,0.7784135318732451
2010-02-03,0.005523820769915532,0.00560625988640071,0.9799187876469846,0.9881232573196908
2010-02-04,-0.009766614373087512,-0.009748905387235697,0.9703482987310931,0.9898439994485762
2010-02-05,-0.019932279458084862,-0.019928394395540013,0.9510070452691077,0.9910346048552072
2010-02-08,0.0020563388992991434,0.002191045790428551,0.9529626380498021,0.9888727682994803
2010-02-09,0.002474282166957996,0.0024762115602384753,0.9553205365109059,0.9845314920229731
2010-02-10,0.00147892982798851,0.001479110479627199,0.9567333885476418,0.9849401428659499
2010-02-11,-0.003030587465056263,-0.0030303822903503894,0.9538339243329085,0.9854067201346688
2010-02-12,0.00405593988796671,0.0040560617802535975,0.9577026173931061,0.9856849768618697
2010-02-16,0.011816970288947685,0.01182829179367615,0.969019760768488,0.985116204881911
2010-02-17,0.010013330760569499,0.010013668655632748,0.9787228761465907,0.985874825887482
2010-02-18,-0.0014996821990628279,-0.0013613029871608004,0.9772551028714181,0.9880709776411905
2010-02-19,0.00492110755266318,0.00506097245359931,0.9820642803390373,0.9899325619864229
2010-02-22,0.008423539195349538,0.008434409478596288,0.9903367372968259,0.9896366939564455
2010-02-23,-0.006414524840858939,-0.006414134265319852,0.9839841976946203,0.9905408556262358
2010-02-24,-0.00433778440507103,-0.004337136149650951,0.9797158863870242,0.9920685252523562
2010-02-25,-0.0066711519432994795,-0.006670659110692795,0.9731800528476721,0.9909070952403211
2010-02-26,0.010125394861103443,0.010125713249019138,0.9830338851537044,0.990133515135099
2010-03-01,0.002310968717828744,0.0023114486556447505,0.9853056457108601,0.9889501493498941
2010-03-02,0.009614141871234536,0.009614859209673598,0.9947785139752526,0.9907385145045295
2010-03-03,0.0014887720119195885,0.0014889368576003243,0.9962595123849181,0.9911478209323187
2010-03-04,0.000550413610600969,0.0005510824270921431,0.9968078671802254,0.9928265221100853
2010-03-05,0.005994828289183716,0.005994930810225793,1.0027835591812784,0.9930875164643084
2010-03-08,0.007942036065243782,0.007942071373726245,1.0107477023739295,0.9931829686904857
2010-03-09,-0.0007749139286452864,-0.0007745281860685785,1.0099644599010138,0.9942212537654872
2010-03-10,0.004489749241371937,0.00449026176226366,1.0144989470686672,0.9956011240886685
2010-03-11,0.002396170559578708,0.002396220141107407,1.0169298595783567,0.9954666514555358
2010-03-12,0.008873336429595481,0.008873620746312552,1.0259534203476968,0.9962397616576302
2010-03-15,-0.004576514354532847,-0.00457636108576811,1.0212581297923935,0.9966533647408434
2010-03-16,0.00590335754141943,0.005903915792864803,1.0272869816746393,0.9981829528366107
2010-03-17,0.006073460168200545,0.006073748289850182,1.0335261682391512,0.9973910619999964
2010-03-18,0.0013399740819206513,0.0014755803631085233,1.0349110665175785,0.9984011945095221
2010-03-19,0.0003278926580642763,0.00046721192112050906,1.035250406258039,0.9994418345316733
2010-03-22,-0.007648351298152218,-0.007509760940679735,1.0273324474694228,0.9997537863330999
2010-03-23,0.010386802463667693,0.010524856986140588,1.038003146665804,0.9998343491079729
2010-03-24,0.0010863859924422651,0.0012232557808494757,1.0391308187444528,0.9982367304032647
2010-03-25,0.0016179849027824016,0.001753594945088693,1.0408121167211972,0.9999999999999997
2010-03-26,-0.00414544371182582,-0.00414544371182582,1.0364974886767433,0.9999999999999997
2010-03-29,0.003907959715571061,0.004043585450333852,1.0405480791077826,0.9999999999999999
2010-03-30,0.001914788205801616,0.0019154145263099885,1.0425405082972279,0.9992923422770073
2010-03-31,-0.0013420558546867118,-0.001337364251023428,1.0411413607043196,1.0
2010-04-01,0.004772616142511096,0.004900841785146557,1.046110328769053,0.9999999999999994
2010-04-05,0.003693748529704553,0.003821333921278279,1.0499743972578524,0.9997139945796593
2010-04-06,0.00041126594522884876,0.0004173709338500221,1.0504062159708067,1.0
2010-04-07,0.005060985930141504,0.0050613243930817745,1.0557223070507682,0.9999999999999999
2010-04-08,-0.004367177960774117,-0.004367154063163134,1.0511117798587184,1.0
2010-04-09,0.006219712345023628,0.00622042975725094,1.0576493927719055,0.9999999999999996
2010-04-12,0.005792872418262599,0.005796617290407611,1.063776220767486,0.9990581596841417
2010-04-13,-0.002155656955836607,-0.0021552293943605046,1.061483084157735,1.0
2010-04-14,0.006050440513064281,0.006052762516429808,1.0679055244140554,1.0
2010-04-15,0.003930199906472967,0.00405390291189243,1.0721026066062294,0.9995386288123326
2010-04-16,-0.0023469985409117896,-0.002221807771739169,1.0695863833528167,1.0
2010-04-19,-0.011956960718580247,-0.011955807618576945,1.0567973809819389,0.9999999999999998
2010-04-20,0.012990168593261957,0.013114300291517163,1.070525357129812,0.9995287991080746
2010-04-21,0.0034802189240042457,0.003607674996229597,1.0742510197363213,0.9969883988859074
2010-04-22,-0.008451767154632753,-0.008323084035002688,1.065171700251883,0.9992169325587515
2010-04-23,0.00686059329828308,0.006987699591920846,1.0724794100801518,0.9999783282036538
2010-04-26,0.00805829027728622,0.00805920255400847,1.0811217604829904,0.9985619049863939
2010-04-27,-0.006219464177442539,-0.006217976472870679,1.0743977624222127,0.9999999999999997
