assumption,equity_bps,crypto_bps,slippage_vol_fraction,full/avg_monthly,full/geom_monthly,full/cagr,full/pct_pos,full/sharpe,full/max_dd,full/ann_vol
zero cost,0.0,0.0,0.0,0.01803993262999899,0.012098912536222084,0.1552487271741121,0.7526881720430108,1.5729289703066573,-0.14692971146613532,0.0946126769032159
brief only: 1.5bp eq / 10bp crypto,1.5,10.0,0.0,0.017219909957732493,0.011530263475851399,0.1474838157937748,0.7526881720430108,1.5021515204654272,-0.14790117202072894,0.09457630734339165
as configured: + 0.02 x vol,1.5,10.0,0.02,0.01643927024625469,0.010988172885804559,0.1401261320800502,0.7526881720430108,1.434509899374984,-0.1499215414666878,0.09454758874320775
2x brief: 3bp / 20bp + 0.05 x vol,3.0,20.0,0.05,0.014452426340550563,0.009607657297418415,0.1215835460811232,0.7204301075268817,1.261550694399326,-0.15450927007236648,0.094503247604258
punitive: 3bp / 20bp + 0.20 x vol,3.0,20.0,0.2,0.00863599273377445,0.005553440474342031,0.06871492683371949,0.5913978494623656,0.7496531729380649,-0.2080186842707793,0.09461968712448729
