defensive_budget,crypto_budget,full/avg_monthly,full/geom_monthly,full/cagr,full/pct_pos,full/sharpe,full/max_dd,full/ann_vol,is_window/avg_monthly,is_window/geom_monthly,is_window/cagr,is_window/pct_pos,is_window/sharpe,is_window/max_dd,is_window/ann_vol,oos_2023_plus/avg_monthly,oos_2023_plus/geom_monthly,oos_2023_plus/cagr,oos_2023_plus/pct_pos,oos_2023_plus/sharpe,oos_2023_plus/max_dd,oos_2023_plus/ann_vol,full/pct_ge_2pct,full/pct_in_2_4_band,meets_75_all_windows
0.1,0.2,0.015065355237248218,0.010094988023548801,0.1280973897147406,0.7204301075268817,1.2965743371359206,-0.13473046956731605,0.09657632070835365,0.01513202436002238,0.009942090709808893,0.12604998382681143,0.7083333333333334,1.1435964606213742,-0.13473046956731605,0.10901956153236728,0.014994241506289117,0.01026099427198579,0.13032419713474752,0.7333333333333333,1.5537193367858873,-0.10345694254440652,0.0809727454994969,0.4731182795698925,0.27956989247311825,False
0.1,0.25,0.015474739254654243,0.01035454661537294,0.13158088250501865,0.7204301075268817,1.3106563967941571,-0.13017820056709384,0.09799477610220202,0.015694113719479968,0.010303468666798432,0.1308945955525962,0.7083333333333334,1.1740316264968875,-0.13017820056709384,0.10993307263068251,0.015240739825506819,0.010409997996187359,0.13232636338936565,0.7333333333333333,1.5363079485859286,-0.10699866256232982,0.08315804818077056,0.45161290322580644,0.25806451612903225,False
0.1,0.3,0.01574194831935123,0.010497186732430608,0.13349942747395716,0.7311827956989247,1.2917496067177165,-0.155058772906161,0.10096697672035504,0.015924434193430963,0.010405282981716057,0.1322629578627803,0.7291666666666666,1.1553007329844796,-0.155058772906161,0.1130603705947737,0.015547296720332853,0.010596963734186282,0.13484322475791322,0.7333333333333333,1.5145142308455615,-0.11192302485589778,0.08597655649361588,0.44086021505376344,0.21505376344086022,False
0.1,0.35,0.016526462104297725,0.010992313946827537,0.1401821735457578,0.7204301075268817,1.3135554010492652,-0.1718009099382548,0.10399969010780444,0.016812370920385254,0.010954588569542345,0.13967172484739931,0.7083333333333334,1.1752381150794606,-0.1718009099382548,0.11708224061237565,0.016221492700471022,0.011033268907608695,0.14073655783933514,0.7333333333333333,1.5461661108085762,-0.11916267816245862,0.0876584173704083,0.44086021505376344,0.21505376344086022,False
0.1,0.4,0.017147406834399276,0.011359456973835114,0.1451608113980558,0.6774193548387096,1.2986543620903346,-0.18475399512395652,0.10895024787042261,0.01761487680165014,0.011424799751801773,0.1460489773280904,0.6458333333333334,1.1754528852638524,-0.18475399512395652,0.12233852214192172,0.016648772202665023,0.011288527888665856,0.14419742828485527,0.7111111111111111,1.505882974131679,-0.1260641433300831,0.09228886007607195,0.46236559139784944,0.21505376344086022,False
0.12,0.2,0.014980436332649312,0.01005835926431109,0.127606593487245,0.7204301075268817,1.3360691352299914,-0.123926401989359,0.09315289130016424,0.01497846484716042,0.009866410429775208,0.1250378307755129,0.7083333333333334,1.1759584388141127,-0.123926401989359,0.10487860634201551,0.014982539250504131,0.010266773593152312,0.1304017934644104,0.7333333333333333,1.600930772993281,-0.09752493191627865,0.0785048655297839,0.4731182795698925,0.3010752688172043,False
0.12,0.25,0.015419923874047404,0.010336368315207789,0.13133659382531304,0.7204301075268817,1.3496444035523711,-0.12767684676211433,0.09477413572816384,0.015585588003901779,0.010254550816213737,0.1302376895269337,0.7083333333333334,1.207234930911229,-0.12767684676211433,0.10608433295653846,0.0152432154688694,0.010425194068347743,0.13253073590993414,0.7333333333333333,1.581686037242107,-0.1057675056174967,0.08076229184633701,0.46236559139784944,0.27956989247311825,False
0.12,0.3,0.0157779260370385,0.010543554611025074,0.13412372882773327,0.7419354838709677,1.333777263945102,-0.15038848470095412,0.09797520681584698,0.015951267733272663,0.010449136832096695,0.1328528116088743,0.7291666666666666,1.1929410736524981,-0.15038848470095412,0.10960727422406373,0.015593028227722058,0.010646061279376617,0.1355050067626331,0.7555555555555555,1.5625638645404374,-0.1134944843627862,0.08357579693475316,0.44086021505376344,0.21505376344086022,False
0.12,0.35,0.016321391057246608,0.010866799644889236,0.13848469486263237,0.7096774193548387,1.3232296928573966,-0.16671426718300764,0.10195404859598985,0.01686226938335945,0.011007995094272749,0.14039441124378516,0.7083333333333334,1.208808343376448,-0.16671426718300764,0.11406639635855637,0.015744454176059568,0.010713545061737495,0.13641519271661773,0.7111111111111111,1.5142707265751125,-0.12079454073090845,0.08695817084816172,0.46236559139784944,0.23655913978494625,False
0.12,0.4,0.017143317511578302,0.01136925048635562,0.14529388864172987,0.6774193548387096,1.324742431970429,-0.17942586700067586,0.10670946667412741,0.017720005108147054,0.011509292184895603,0.147198369387894,0.6458333333333334,1.206884300522365,-0.17942586700067586,0.11971940895151047,0.016528184075238306,0.011217248001094804,0.14323002894725123,0.7111111111111111,1.5238843949308696,-0.12775238684443857,0.09053853240531405,0.4731182795698925,0.22580645161290322,False
